Quantity,Card_Name
1,"Batterskull"
4,"Brainstorm"
1,"Dress Down"
4,"Flooded Strand"
2,"Force of Negation"
4,"Force of Will"
4,"Ice-Fang Coatl"
1,"Kaldra Compleat"
1,"Lightning Bolt"
1,"Minor Misstep"
2,"Minsc & Boo, Timeless Heroes"
2,"Misty Rainforest"
4,"Ponder"
4,"Prismatic Ending"
4,"Prismatic Vista"
1,"Scalding Tarn"
1,"Snapcaster Mage"
1,"Snow-Covered Forest"
2,"Snow-Covered Island"
1,"Snow-Covered Mountain"
2,"Snow-Covered Plains"
4,"Stoneforge Mystic"
4,"Swords to Plowshares"
1,"Teferi, Time Raveler"
1,"Tropical Island"
1,"Tundra"
1,"Umezawa's Jitte"
1,"Volcanic Island"
2,"Blue Elemental Blast"
3,"Carpet of Flowers"
1,"Dress Down"
2,"Meltdown"
4,"Pyroblast"
2,"Surgical Extraction"
1,"Wear/Tear"
