Quantity,Card_Name
4,"Aether Vial"
1,"Batterskull"
1,"Eiganjo, Seat of the Empire"
2,"Flagstones of Trokair"
4,"Flickerwisp"
1,"Kaldra Compleat"
3,"Karakas"
1,"Loran of the Third Path"
4,"Mother of Runes"
1,"Palace Jailer"
5,"Plains"
2,"Recruiter of the Guard"
4,"Rishadan Port"
1,"Sanctum Prelate"
3,"Skyclave Apparition"
4,"Snow-Covered Plains"
1,"Solitude"
4,"Stoneforge Mystic"
1,"Sunbaked Canyon"
4,"Swords to Plowshares"
4,"Thalia, Guardian of Thraben"
1,"Umezawa's Jitte"
4,"Wasteland"
2,"Cataclysm"
1,"Cathar Commando"
2,"Containment Priest"
2,"Deafening Silence"
1,"Ethersworn Canonist"
1,"Lion Sash"
1,"Path to Exile"
2,"Serenity"
1,"Solitude"
2,"Surgical Extraction"
