Quantity,Card_Name
4,"Baleful Strix"
4,"Brainstorm"
1,"Cavern of Souls"
2,"Consider"
3,"Dark Ritual"
2,"Daze"
4,"Doomsday"
3,"Fatal Push"
2,"Flooded Strand"
1,"Flusterstorm"
4,"Force of Will"
2,"Island"
1,"Lotus Petal"
1,"Minor Misstep"
1,"Misty Rainforest"
4,"Murktide Regent"
1,"Mystic Sanctuary"
4,"Polluted Delta"
4,"Ponder"
1,"Scalding Tarn"
1,"Street Wraith"
1,"Swamp"
1,"Thassa's Oracle"
3,"Thoughtseize"
4,"Underground Sea"
1,"Unearth"
2,"Brazen Borrower"
4,"Dauthi Voidwalker"
1,"Emrakul, the Aeons Torn"
1,"Flusterstorm"
1,"Hurkyl's Recall"
1,"Hydroblast"
1,"Mystical Dispute"
3,"Plague Engineer"
1,"Shelldock Isle"
