Quantity,Card_Name
4,"Allosaurus Shepherd"
2,"Bayou"
2,"Birchlore Rangers"
1,"Boseiju, Who Endures"
2,"Craterhoof Behemoth"
2,"Dryad Arbor"
4,"Elvish Visionary"
4,"Gaea's Cradle"
4,"Glimpse of Nature"
4,"Green Sun's Zenith"
1,"Grist, the Hunger Tide"
3,"Heritage Druid"
1,"Leaf-Crowned Visionary"
3,"Misty Rainforest"
3,"Natural Order"
4,"Nettle Sentinel"
2,"Once Upon a Time"
3,"Quirion Ranger"
3,"Snow-Covered Forest"
4,"Verdant Catacombs"
4,"Wirewood Symbiote"
1,"Assassin's Trophy"
2,"Choke"
1,"Collector Ouphe"
2,"Endurance"
4,"Leyline of the Void"
1,"Progenitus"
4,"Thoughtseize"
