Quantity,Card_Name
4,"Brainstorm"
1,"Comet, Stellar Pup"
1,"Day's Undoing"
2,"Dress Down"
4,"Flooded Strand"
2,"Force of Negation"
4,"Force of Will"
4,"Island"
1,"Jace, the Mind Sculptor"
1,"Monastery Mentor"
1,"Mountain"
1,"Mystic Sanctuary"
4,"Narset, Parter of Veils"
2,"Plains"
4,"Ponder"
4,"Prismatic Ending"
2,"Prismatic Vista"
3,"Scalding Tarn"
1,"Shark Typhoon"
2,"Snapcaster Mage"
2,"Supreme Verdict"
4,"Swords to Plowshares"
2,"Teferi, Time Raveler"
1,"Timeless Dragon"
2,"Tundra"
1,"Volcanic Island"
1,"Containment Priest"
2,"Flusterstorm"
1,"Hydroblast"
1,"Kozilek's Return"
1,"Meltdown"
2,"Pyroblast"
1,"Red Elemental Blast"
1,"Ruination"
1,"Stony Silence"
2,"Surgical Extraction"
1,"Torpor Orb"
1,"Wear/Tear"
