Quantity,Card_Name
1,"Arid Mesa"
2,"Blood Moon"
4,"Brainstorm"
1,"Brazen Borrower"
1,"Court of Grace"
4,"Flooded Strand"
1,"Flusterstorm"
4,"Force of Will"
3,"Island"
1,"Kaldra Compleat"
1,"Mystic Sanctuary"
2,"Narset, Parter of Veils"
2,"Plains"
1,"Plateau"
4,"Ponder"
3,"Prismatic Ending"
3,"Prismatic Vista"
2,"Scalding Tarn"
3,"Snapcaster Mage"
2,"Spell Pierce"
4,"Stoneforge Mystic"
1,"Supreme Verdict"
1,"Sword of Fire and Ice"
4,"Swords to Plowshares"
1,"The Wandering Emperor"
1,"Timeless Dragon"
2,"Tundra"
1,"Volcanic Island"
1,"Batterskull"
1,"Brotherhood's End"
2,"Containment Priest"
2,"Deafening Silence"
1,"Force of Negation"
1,"Meltdown"
2,"Pyroblast"
1,"Red Elemental Blast"
1,"Rest in Peace"
3,"Surgical Extraction"
