Quantity,Card_Name
1,"Aether Spellbomb"
4,"Ancient Tomb"
4,"Chalice of the Void"
4,"Emry, Lurker of the Loch"
4,"Force of Will"
2,"Island"
2,"Kappa Cannoneer"
4,"Lotus Petal"
4,"Mishra's Bauble"
4,"Mox Opal"
2,"Otawara, Soaring City"
3,"Sai, Master Thopterist"
4,"Seat of the Synod"
1,"Shadowspear"
1,"Soul-Guide Lantern"
4,"Thought Monitor"
4,"Thoughtcast"
4,"Urza's Bauble"
4,"Urza's Saga"
2,"Brazen Borrower"
3,"Dismember"
4,"Force of Negation"
1,"Grafdigger's Cage"
1,"Haywire Mite"
1,"Hurkyl's Recall"
1,"Pithing Needle"
1,"Plague Engineer"
1,"Silent Gravestone"
