Quantity,Card_Name
1,"Bojuka Bog"
4,"Crop Rotation"
3,"Dark Depths"
1,"Dryad Arbor"
4,"Elvish Reclaimer"
1,"Endurance"
2,"Flagstones of Trokair"
1,"Forest"
4,"Green Sun's Zenith"
1,"Karakas"
4,"Knight of the Reliquary"
3,"Minsc & Boo, Timeless Heroes"
4,"Mox Diamond"
1,"Plains"
1,"Plateau"
2,"Savannah"
2,"Sejiri Steppe"
4,"Swords to Plowshares"
3,"Sylvan Library"
1,"Sylvan Safekeeper"
1,"Taiga"
3,"Thespian's Stage"
3,"Wasteland"
4,"Windswept Heath"
3,"Yavimaya, Cradle of Growth"
1,"Collector Ouphe"
2,"Deafening Silence"
2,"Endurance"
2,"Force of Vigor"
1,"Gaddock Teeg"
1,"Path to Exile"
1,"Pyroblast"
2,"Red Elemental Blast"
2,"Surgical Extraction"
1,"Tower of the Magistrate"
