Quantity,Card_Name
4,"Ancient Tomb"
4,"Brainstorm"
2,"City of Traitors"
1,"Daze"
3,"Emrakul, the Aeons Torn"
1,"Fiery Islet"
4,"Force of Will"
4,"Griselbrand"
4,"Lotus Petal"
4,"Misty Rainforest"
2,"Omniscience"
4,"Ponder"
2,"Preordain"
4,"Scalding Tarn"
4,"Show and Tell"
2,"Simian Spirit Guide"
4,"Sneak Attack"
1,"Snow-Covered Island"
2,"Spell Pierce"
1,"Tropical Island"
3,"Volcanic Island"
1,"Carpet of Flowers"
1,"Hydroblast"
2,"Lightning Bolt"
1,"Magus of the Moon"
2,"Meltdown"
3,"Pyroblast"
1,"Soul-Guide Lantern"
2,"Surgical Extraction"
2,"Veil of Summer"
