Quantity,Card_Name
4,"Archon of Cruelty"
3,"Arid Mesa"
1,"Blood Crypt"
4,"Bloodstained Mire"
1,"Boseiju, Who Endures"
4,"Dwarven Mine"
4,"Fable of the Mirror-Breaker"
4,"Indomitable Creativity"
1,"Jetmir's Garden"
4,"Leyline Binding"
4,"Lightning Bolt"
1,"Mountain"
2,"Prismari Command"
2,"Prismatic Ending"
1,"Sacred Foundry"
4,"Scalding Tarn"
4,"Spell Pierce"
1,"Steam Vents"
1,"Stomping Ground"
2,"Teferi, Time Raveler"
1,"Transmogrify"
2,"Wooded Foothills"
4,"Wrenn and Six"
1,"Xander's Lounge"
1,"Boseiju, Who Endures"
1,"Emrakul, the Aeons Torn"
2,"Flusterstorm"
3,"Leyline of the Void"
2,"Mystical Dispute"
3,"Veil of Summer"
3,"Wear/Tear"
