Quantity,Card_Name
4,"Amulet of Vigor"
4,"Arboreal Grazer"
3,"Azusa, Lost but Seeking"
1,"Bojuka Bog"
1,"Boros Garrison"
2,"Boseiju, Who Endures"
2,"Cavern of Souls"
1,"Cultivator Colossus"
4,"Dryad of the Ilysian Grove"
1,"Expedition Map"
1,"Explore"
4,"Forest"
1,"Golgari Rot Farm"
2,"Gruul Turf"
1,"Pact of Negation"
4,"Primeval Titan"
2,"Selesnya Sanctuary"
4,"Simic Growth Chamber"
1,"Slayers' Stronghold"
4,"Summoner's Pact"
1,"Sunhome, Fortress of the Legion"
3,"The Mycosynth Gardens"
2,"Tolaria West"
4,"Urza's Saga"
2,"Valakut, the Molten Pinnacle"
1,"Vesuva"
1,"Boseiju, Who Endures"
1,"Cavern of Souls"
3,"Dismember"
3,"Endurance"
3,"Force of Vigor"
1,"Thrun, Breaker of Silence"
2,"Tireless Tracker"
1,"Tyrranax Rex"
