Quantity,Card_Name
4,"Archmage's Charm"
1,"Breeding Pool"
1,"Castle Vantress"
1,"Celestial Colonnade"
2,"Chalice of the Void"
4,"Counterspell"
2,"Dovin's Veto"
1,"Dress Down"
4,"Flooded Strand"
1,"Hall of Storm Giants"
2,"Hallowed Fountain"
3,"Island"
1,"Ketria Triome"
4,"Leyline Binding"
2,"Memory Deluge"
2,"Mystic Gate"
1,"Otawara, Soaring City"
1,"Plains"
1,"Polluted Delta"
4,"Prismatic Ending"
1,"Raffine's Tower"
4,"Scalding Tarn"
2,"Shark Typhoon"
4,"Solitude"
2,"Subtlety"
2,"Supreme Verdict"
3,"Teferi, Time Raveler"
2,"Aether Gust"
1,"Chalice of the Void"
1,"Dovin's Veto"
1,"Dress Down"
2,"Flusterstorm"
2,"Hallowed Moonlight"
1,"Kaheera, the Orphanguard"
1,"Shark Typhoon"
2,"Spreading Seas"
1,"Subtlety"
1,"Supreme Verdict"
