Quantity,Card_Name
1,"Bloodstained Mire"
4,"Boros Charm"
4,"Goblin Guide"
4,"Inspiring Vantage"
4,"Lava Spike"
4,"Lightning Bolt"
3,"Lightning Helix"
4,"Monastery Swiftspear"
3,"Mountain"
1,"Play with Fire"
4,"Rift Bolt"
2,"Sacred Foundry"
4,"Scalding Tarn"
4,"Searing Blaze"
4,"Skewer the Critics"
4,"Skullcrack"
1,"Sokenzan, Crucible of Defiance"
4,"Sunbaked Canyon"
1,"Wooded Foothills"
1,"Chalice of the Void"
2,"Deflecting Palm"
2,"Hallowed Moonlight"
2,"Orvar, the All-Form"
2,"Path to Exile"
2,"Roiling Vortex"
3,"Smash to Smithereens"
1,"Wear/Tear"
