Quantity,Card_Name
4,"Archive Trap"
1,"Baleful Mastery"
1,"Crypt Incursion"
4,"Drown in the Loch"
4,"Fatal Push"
4,"Field of Ruin"
1,"Flooded Strand"
4,"Fractured Sanity"
4,"Hedron Crab"
2,"Island"
2,"Jace, the Perfected Mind"
1,"Mikokoro, Center of the Sea"
1,"Murderous Cut"
1,"Oboro, Palace in the Clouds"
1,"Otawara, Soaring City"
4,"Polluted Delta"
4,"Ruin Crab"
1,"Shelldock Isle"
3,"Snow-Covered Island"
1,"Snow-Covered Swamp"
3,"Surgical Extraction"
1,"Swamp"
4,"Tasha's Hideous Laughter"
2,"Visions of Beyond"
2,"Watery Grave"
1,"Damnation"
1,"Echoing Truth"
1,"Eliminate"
1,"Emrakul, the Aeons Torn"
2,"Engineered Explosives"
1,"Ensnaring Bridge"
3,"Extirpate"
2,"Ghost Quarter"
1,"Go for the Throat"
2,"Soul-Guide Lantern"
