Quantity,Card_Name
3,"Arid Mesa"
2,"Blacksmith's Skill"
4,"Colossus Hammer"
4,"Esper Sentinel"
1,"Gingerbrute"
2,"Giver of Runes"
1,"Hallowed Fountain"
1,"Horizon Canopy"
3,"Inkmoth Nexus"
1,"Kaldra Compleat"
3,"Marsh Flats"
1,"Nettlecyst"
4,"Ornithopter"
4,"Plains"
4,"Puresteel Paladin"
3,"Seachrome Coast"
1,"Shadowspear"
4,"Sigarda's Aid"
3,"Spell Pierce"
3,"Springleaf Drum"
4,"Stoneforge Mystic"
4,"Urza's Saga"
1,"Blacksmith's Skill"
1,"Burrenton Forge-Tender"
2,"Drannith Magistrate"
1,"Manriki-Gusari"
2,"March of Otherworldly Light"
2,"Path to Exile"
1,"Pithing Needle"
1,"Relic of Progenitus"
3,"Sanctifier en-Vec"
1,"Spell Pierce"
