Quantity,Card_Name
3,"Arid Mesa"
2,"Bloodstained Mire"
4,"Dragon's Rage Channeler"
4,"Expressive Iteration"
1,"Grapeshot"
4,"Lava Dart"
4,"Lightning Bolt"
4,"Manamorphose"
4,"Mishra's Bauble"
4,"Monastery Swiftspear"
3,"Mountain"
4,"Mutagenic Growth"
1,"Sacred Foundry"
2,"Scalding Tarn"
4,"Soul-Scar Mage"
3,"Sprite Dragon"
3,"Steam Vents"
3,"Underworld Breach"
3,"Wooded Foothills"
1,"Chained to the Rocks"
2,"Flusterstorm"
2,"Invasive Surgery"
1,"Jegantha, the Wellspring"
2,"Magus of the Moon"
3,"Portable Hole"
1,"Prismatic Ending"
1,"Shattering Spree"
2,"Wear/Tear"
