Quantity,Card_Name
4,"Architects of Will"
1,"Boseiju, Who Endures"
2,"Botanical Sanctum"
1,"Brazen Borrower"
2,"Breeding Pool"
4,"Curator of Mysteries"
4,"Force of Negation"
1,"Forest"
4,"Grief"
1,"Island"
3,"Living End"
4,"Misty Rainforest"
1,"Otawara, Soaring City"
2,"Scalding Tarn"
4,"Shardless Agent"
2,"Spirebluff Canal"
2,"Steam Vents"
4,"Street Wraith"
4,"Striped Riverwinder"
2,"Subtlety"
1,"Sunken Ruins"
4,"Violent Outburst"
3,"Waker of Waves"
2,"Dead/Gone"
2,"Endurance"
1,"Force of Vigor"
3,"Foundation Breaker"
3,"Leyline of Sanctity"
1,"Living End"
2,"Mystical Dispute"
1,"Subtlety"
