Quantity,Card_Name
4,"Cranial Plating"
4,"Darksteel Citadel"
2,"Forging the Anchor"
4,"Frogmite"
1,"Gingerbrute"
2,"Island"
4,"Memnite"
4,"Mistvault Bridge"
1,"Nettlecyst"
4,"Ornithopter"
1,"Otawara, Soaring City"
4,"Patchwork Automaton"
1,"Shadowspear"
3,"Sojourner's Companion"
4,"Springleaf Drum"
4,"Thought Monitor"
4,"Thoughtcast"
3,"Treasure Vault"
4,"Urza's Saga"
2,"Welding Jar"
1,"Aether Spellbomb"
2,"Damping Sphere"
2,"Dismember"
2,"Etched Champion"
1,"Grafdigger's Cage"
1,"Haywire Mite"
2,"Metallic Rebuke"
2,"Orvar, the All-Form"
1,"Pithing Needle"
1,"Relic of Progenitus"
