Quantity,Card_Name
3,"Adarkar Wastes"
4,"Curious Obsession"
4,"Geistlight Snare"
2,"Hall of Storm Giants"
4,"Hallowed Fountain"
4,"Hengegate Pathway"
2,"Island"
2,"Lantern Bearer"
4,"Lofty Denial"
4,"Mausoleum Wanderer"
2,"Mutavault"
1,"Otawara, Soaring City"
4,"Rattlechains"
4,"Seachrome Coast"
4,"Shacklegeist"
4,"Spectral Sailor"
4,"Spell Queller"
4,"Supreme Phantom"
2,"Aether Gust"
2,"Cemetery Illuminator"
3,"Portable Hole"
2,"Selfless Spirit"
1,"Settle the Wreckage"
2,"Slip Out the Back"
3,"Wedding Announcement"
