Quantity,Card_Name
1,"Barkchannel Pathway"
3,"Botanical Sanctum"
1,"Branchloft Pathway"
2,"Breeding Pool"
1,"Cemetery Illuminator"
4,"Collected Company"
1,"Eiganjo, Seat of the Empire"
2,"Empyrean Eagle"
1,"Forest"
1,"Glasspool Mimic"
4,"Hallowed Fountain"
1,"Island"
2,"Lofty Denial"
4,"Mausoleum Wanderer"
1,"Otawara, Soaring City"
1,"Plains"
4,"Rattlechains"
3,"Seachrome Coast"
3,"Secluded Courtyard"
2,"Selfless Spirit"
4,"Shacklegeist"
3,"Skyclave Apparition"
2,"Spectral Sailor"
4,"Spell Queller"
4,"Supreme Phantom"
1,"Temple Garden"
1,"Cemetery Illuminator"
1,"Dovin's Veto"
2,"Extraction Specialist"
2,"Katilda, Dawnhart Martyr"
3,"Portable Hole"
2,"Remorseful Cleric"
1,"Rest in Peace"
1,"Selfless Spirit"
1,"Shapers' Sanctuary"
1,"Skyclave Apparition"
