Quantity,Card_Name
4,"Bonecrusher Giant"
2,"Boseiju, Who Endures"
2,"Copperline Gorge"
4,"Cragcrown Pathway"
4,"Elvish Mystic"
4,"Esika's Chariot"
1,"Forest"
4,"Karplusan Forest"
2,"Lair of the Hydra"
4,"Llanowar Elves"
2,"Lovestruck Beast"
2,"Migloz, Maze Crusher"
1,"Mountain"
3,"Mutavault"
4,"Obliterating Bolt"
4,"Reckless Stormseeker"
2,"Scavenging Ooze"
3,"Skysovereign, Consul Flagship"
1,"Sokenzan, Crucible of Defiance"
4,"Stomping Ground"
3,"The Akroan War"
2,"Damping Sphere"
2,"Embercleave"
2,"Fry"
3,"Rending Volley"
1,"The Akroan War"
4,"Thrun, Breaker of Silence"
1,"Unlicensed Hearse"
