Quantity,Card_Name
1,"Approach of the Second Sun"
4,"Arboreal Grazer"
3,"Bala Ged Recovery"
1,"Behold the Beyond"
3,"Boseiju, Who Endures"
4,"Botanical Sanctum"
1,"Breeding Pool"
2,"Dark Petition"
2,"Emergent Ultimatum"
4,"Hidden Strings"
4,"Impulse"
1,"Island"
1,"Lier, Disciple of the Drowned"
4,"Lotus Field"
1,"Omniscience"
2,"Otawara, Soaring City"
4,"Pore Over the Pages"
1,"Shimmer of Possibility"
1,"Silence"
4,"Sylvan Scrying"
3,"Temple of Mystery"
4,"Thespian's Stage"
4,"Vizier of Tumbling Sands"
1,"Voyaging Satyr"
1,"Depopulate"
1,"Dragonlord Dromoka"
1,"Elder Gargaroth"
2,"Fading Hope"
2,"Hope Tender"
1,"Narset's Reversal"
1,"Path of Peril"
2,"Pithing Needle"
1,"Ritual of Soot"
1,"Silence"
1,"Sphinx of the Final Word"
1,"Zacama, Primal Calamity"
