Quantity,Card_Name
3,"Castle Locthwain"
4,"Fatal Push"
3,"Field of Ruin"
4,"Graveyard Trespasser"
3,"Hive of the Eye Tyrant"
4,"Invoke Despair"
2,"Liliana of the Veil"
3,"Misery's Shadow"
1,"Murderous Rider"
3,"Power Word Kill"
2,"Reckoner Bankbuster"
4,"Sheoldred, the Apocalypse"
4,"Sign in Blood"
15,"Swamp"
1,"Takenuma, Abandoned Mire"
4,"Thoughtseize"
2,"Duress"
3,"Extinction Event"
3,"Go Blank"
2,"Pithing Needle"
3,"Ray of Enfeeblement"
1,"Reckoner Bankbuster"
1,"Skysovereign, Consul Flagship"
