Quantity,Card_Name
4,"Ascendant Spirit"
1,"Brazen Borrower"
1,"Cemetery Illuminator"
1,"Combat Research"
4,"Curious Obsession"
2,"Faceless Haven"
4,"Geistlight Snare"
4,"Lofty Denial"
4,"Mausoleum Wanderer"
4,"Rattlechains"
1,"Shacklegeist"
1,"Snow-Covered Island"
1,"Spectral Adversary"
4,"Spectral Sailor"
2,"Spell Pierce"
4,"Supreme Phantom"
2,"Aether Gust"
1,"Brazen Borrower"
3,"Ledger Shredder"
2,"Leyline of Combustion"
2,"Mystical Dispute"
2,"Slip Out the Back"
1,"Soul-Guide Lantern"
1,"Unlicensed Hearse"
1,"Witness Protection"
