Quantity,Card_Name
2,"Boseiju, Who Endures"
4,"Cavalier of Thorns"
4,"Elvish Mystic"
13,"Forest"
4,"Karn, the Great Creator"
4,"Kiora, Behemoth Beckoner"
2,"Lair of the Hydra"
4,"Llanowar Elves"
1,"Nicol Bolas, Dragon-God"
4,"Nykthos, Shrine to Nyx"
4,"Oath of Nissa"
4,"Old-Growth Troll"
1,"Skysovereign, Consul Flagship"
4,"Storm the Festival"
1,"Sylvan Caryatid"
4,"Wolfwillow Haven"
1,"Cityscape Leveler"
1,"Damping Sphere"
1,"Darksteel Citadel"
1,"Esika's Chariot"
1,"God-Pharaoh's Statue"
1,"Haywire Mite"
1,"Pestilent Cauldron"
1,"Pithing Needle"
1,"Skysovereign, Consul Flagship"
1,"The Chain Veil"
1,"The Filigree Sylex"
1,"The Mightstone and Weakstone"
1,"The Stone Brain"
1,"Tormod's Crypt"
1,"Transmogrifying Wand"
