Quantity,Card_Name
4,"Blackcleave Cliffs"
4,"Blightstep Pathway"
4,"Blood Crypt"
4,"Bloodtithe Harvester"
4,"Cauldron Familiar"
3,"Claim the Firstborn"
4,"Deadly Dispute"
2,"Den of the Bugbear"
1,"Eaten Alive"
4,"Fable of the Mirror-Breaker"
3,"Fatal Push"
2,"Hive of the Eye Tyrant"
1,"Kari Zev's Expertise"
4,"Mayhem Devil"
1,"Mountain"
1,"Sokenzan, Crucible of Defiance"
1,"Sulfurous Springs"
1,"Swamp"
1,"Takenuma, Abandoned Mire"
3,"Unlucky Witness"
1,"Urborg, Tomb of Yawgmoth"
2,"Village Rites"
1,"Vraan, Executioner Thane"
4,"Witch's Oven"
1,"Abrade"
1,"Fatal Push"
3,"Go Blank"
2,"Kari Zev's Expertise"
2,"Ob Nixilis, the Adversary"
1,"Rending Volley"
4,"Thoughtseize"
1,"Unlicensed Hearse"
