Quantity,Card_Name
3,Abrade
4,"Atraxa, Grand Unifier"
4,Blackcleave Cliffs
4,Bloodtithe Harvester
1,Brotherhood's End
4,Corpse Appraiser
3,Darkslick Shores
1,Deathcap Glade
2,Duress
4,Fable of the Mirror-Breaker
3,Go for the Throat
1,Make Disappear
1,Negate
1,"Otawara, Soaring City"
3,Reckoner Bankbuster
2,Rockfall Vale
1,Shattered Sanctum
3,Shivan Reef
1,Stormcarved Coast
1,Sulfurous Springs
2,Sundown Pass
1,"Takenuma, Abandoned Mire"
4,The Cruelty of Gix
2,Underground River
4,Xander's Lounge
1,Brotherhood's End
4,Cut Down
1,Disdainful Stroke
2,Duress
1,Go for the Throat
1,Negate
1,Reckoner Bankbuster
2,"Sheoldred, the Apocalypse"
2,Unlicensed Hearse
