Quantity,Card_Name
4,Adarkar Wastes
2,Brutal Cathar
1,Cathar Commando
3,"Dennick, Pious Apprentice"
1,"Eiganjo, Seat of the Empire"
4,Fortified Beachhead
3,"Harbin, Vanguard Aviator"
2,Mishra's Foundry
1,"Otawara, Soaring City"
3,Plains
1,Plaza of Heroes
4,Recruitment Officer
4,Resolute Reinforcements
4,Seachrome Coast
4,Secluded Courtyard
4,Siege Veteran
3,"Skrelv, Defector Mite"
4,Skystrike Officer
4,"Thalia, Guardian of Thraben"
4,Valiant Veteran
2,Brutal Cathar
2,Destroy Evil
2,Extraction Specialist
3,Lantern Flare
2,Protect the Negotiators
2,Spell Pierce
2,Tocasia's Welcome
