Quantity,Card_Name
3,"Atraxa, Grand Unifier"
1,"Boseiju, Who Endures"
4,"Contagious Vorrac"
3,"Depopulate"
1,"Eiganjo, Seat of the Empire"
2,"Forest"
4,"Herd Migration"
2,"Island"
4,"Jetmir's Garden"
2,"Lay Down Arms"
4,"Leyline Binding"
3,"Make Disappear"
1,"Memory Deluge"
1,"Mountain"
3,"Ossification"
1,"Otawara, Soaring City"
3,"Plains"
4,"Raffine's Tower"
3,"Reckoner Bankbuster"
4,"Spara's Headquarters"
1,"Swamp"
1,"The Celestus"
1,"The Eternal Wanderer"
3,"The Wandering Emperor"
1,"Ziatora's Proving Ground"
2,"Disdainful Stroke"
2,"Knockout Blow"
2,"Lay Down Arms"
2,"Negate"
2,"Return to Nature"
3,"Temporary Lockdown"
2,"Thrun, Breaker of Silence"
