Quantity,Card_Name
4,"Caves of Koilos"
4,"Darkslick Shores"
4,"Dennick, Pious Apprentice"
1,"Edgar, Charmed Groom"
3,"Eiganjo, Seat of the Empire"
2,"Gix, Yawgmoth Praetor"
2,"Go for the Throat"
3,"Guardian of New Benalia"
1,"Harbin, Vanguard Aviator"
3,"Otawara, Soaring City"
4,"Plaza of Heroes"
4,"Raffine, Scheming Seer"
4,"Seachrome Coast"
4,"Shattered Sanctum"
3,"Sheoldred, the Apocalypse"
4,"Skrelv, Defector Mite"
1,"Takenuma, Abandoned Mire"
4,"Thalia, Guardian of Thraben"
1,"The Raven Man"
4,"Toluz, Clever Conductor"
4,"Cut Down"
2,"Disdainful Stroke"
1,"Edgar, Charmed Groom"
2,"Loran of the Third Path"
3,"Razorlash Transmogrant"
3,"Spell Pierce"
