Quantity,Card_Name
3,"Adeline, Resplendent Cathar"
4,"Caves of Koilos"
4,"Darkslick Shores"
4,"Dennick, Pious Apprentice"
3,"Eiganjo, Seat of the Empire"
2,"Go for the Throat"
1,"Ludevic, Necrogenius"
3,"Otawara, Soaring City"
1,"Plains"
4,"Plaza of Heroes"
4,"Raffine, Scheming Seer"
2,"Razorlash Transmogrant"
3,"Seachrome Coast"
3,"Shattered Sanctum"
4,"Sheoldred, the Apocalypse"
1,"Shipwreck Marsh"
4,"Skrelv, Defector Mite"
2,"Takenuma, Abandoned Mire"
4,"Thalia, Guardian of Thraben"
4,"Wedding Announcement"
4,"Cut Down"
2,"Destroy Evil"
2,"Disdainful Stroke"
2,"Go for the Throat"
3,"Loran of the Third Path"
2,"Malicious Malfunction"
