Quantity,Card_Name
4,"Adeline, Resplendent Cathar"
2,"Ao, the Dawn Sky"
4,Darkslick Shores
4,"Dennick, Pious Apprentice"
4,"Eiganjo, Seat of the Empire"
2,Ertai Resurrected
2,Go for the Throat
3,"Otawara, Soaring City"
4,Plaza of Heroes
4,Raffine's Tower
4,"Raffine, Scheming Seer"
4,Seachrome Coast
4,Shattered Sanctum
2,"Sheoldred, the Apocalypse"
3,"Skrelv, Defector Mite"
4,"Thalia, Guardian of Thraben"
2,The Raven Man
3,"Toluz, Clever Conductor"
1,"Unctus, Grand Metatect"
4,Cut Down
4,Disdainful Stroke
3,Loran of the Third Path
1,Unlicensed Hearse
3,Wedding Announcement
