Quantity,Card_Name
3,Abrade
3,Blackcleave Cliffs
1,Bladecoil Serpent
4,Bloodtithe Harvester
1,Brotherhood's End
4,Corpse Appraiser
3,Darkslick Shores
4,Fable of the Mirror-Breaker
3,Go for the Throat
3,Haunted Ridge
4,Invoke Despair
3,Make Disappear
2,Negate
3,Reckoner Bankbuster
2,"Sheoldred, the Apocalypse"
4,Shipwreck Marsh
3,Shivan Reef
4,Sulfurous Springs
1,Swamp
1,"Takenuma, Abandoned Mire"
4,Xander's Lounge
1,Brotherhood's End
3,Cut Down
2,Disdainful Stroke
2,Duress
2,Parasitic Grasp
3,Razorlash Transmogrant
2,Siphon Insight
