Quantity,Card_Name
2,"Abrade"
4,"Blackcleave Cliffs"
4,"Bloodtithe Harvester"
1,"Boseiju, Who Endures"
2,"Capricious Hellraiser"
1,"Cut Down"
2,"Deathcap Glade"
1,"Duress"
4,"Fable of the Mirror-Breaker"
3,"Go for the Throat"
3,"Graveyard Trespasser"
4,"Haunted Ridge"
4,"Invoke Despair"
2,"Jaya, Fiery Negotiator"
2,"Llanowar Wastes"
1,"Mountain"
3,"Reckoner Bankbuster"
2,"Sheoldred, the Apocalypse"
1,"Sokenzan, Crucible of Defiance"
4,"Sulfurous Springs"
3,"Swamp"
1,"Takenuma, Abandoned Mire"
2,"Unleash the Inferno"
4,"Ziatora's Proving Ground"
2,"Brotherhood's End"
2,"Cut Down"
3,"Duress"
1,"Liliana of the Veil"
3,"Razorlash Transmogrant"
2,"The Cruelty of Gix"
2,"Unlicensed Hearse"
