Quantity,Card_Name
4,"Atraxa, Grand Unifier"
4,"Azusa's Many Journeys"
2,"Courier's Briefcase"
1,"Deathcap Glade"
4,"Drag to the Bottom"
1,"Eiganjo, Seat of the Empire"
4,"Fable of the Mirror-Breaker"
4,"Forest"
4,"Herd Migration"
1,"Island"
4,"Leyline Binding"
1,"Mountain"
1,"Plains"
2,"Raffine's Tower"
3,"Reckoner Bankbuster"
2,"Shadow Prophecy"
1,"Shattered Sanctum"
1,"Shipwreck Marsh"
4,"Spara's Headquarters"
1,"Spirit-Sister's Call"
1,"Swamp"
4,"The Kami War"
2,"Xander's Lounge"
4,"Ziatora's Proving Ground"
2,"Cut Down"
2,"Disdainful Stroke"
2,"Duress"
2,"Glissa Sunslayer"
3,"Graveyard Trespasser"
2,"Tear Asunder"
2,"Unleash the Inferno"
