Quantity,Card_Name
3,"Archangel of Wrath"
2,"Battlefield Forge"
4,"Blackcleave Cliffs"
4,"Bloodtithe Harvester"
2,"Caves of Koilos"
1,"Eiganjo, Seat of the Empire"
4,"Fable of the Mirror-Breaker"
2,"Farewell"
2,"Go for the Throat"
2,"Haunted Ridge"
2,"Jetmir's Garden"
1,"Kaya, Intangible Slayer"
3,"Loran of the Third Path"
1,"Mirrex"
1,"Plains"
2,"Raffine's Tower"
3,"Reckoner Bankbuster"
3,"Rite of Oblivion"
2,"Serra Paragon"
4,"Shattered Sanctum"
1,"Sokenzan, Crucible of Defiance"
4,"Sundown Pass"
1,"Takenuma, Abandoned Mire"
1,"The Eternal Wanderer"
2,"The Wandering Emperor"
3,"Wedding Announcement"
4,"Cut Down"
3,"Duress"
2,"Phyrexian Missionary"
2,"Sheoldred's Edict"
2,"The Stone Brain"
2,"Unlicensed Hearse"
