Quantity,Card_Name
2,Cathar Commando
4,Demolition Field
2,Destroy Evil
1,"Eiganjo, Seat of the Empire"
1,Elspeth Resplendent
2,Farewell
4,Field of Ruin
4,Lay Down Arms
2,Loran of the Third Path
13,Plains
4,Reckoner Bankbuster
2,Roadside Reliquary
2,Sanctuary Warden
2,Serra Paragon
2,Spirited Companion
2,The Eternal Wanderer
3,The Restoration of Eiganjo
4,The Wandering Emperor
4,Wedding Announcement
2,Depopulate
1,Elspeth Resplendent
2,Fateful Absence
1,Loran of the Third Path
2,Ossification
3,Skrelv's Hive
2,Sunset Revelry
2,Unlicensed Hearse
