Quantity,Card_Name
1,"Abrade"
4,"Blackcleave Cliffs"
4,"Bloodthirsty Adversary"
4,"Bloodtithe Harvester"
2,"Cut Down"
4,"Fable of the Mirror-Breaker"
3,"Go for the Throat"
4,"Graveyard Trespasser"
4,"Haunted Ridge"
4,"Kumano Faces Kakkazan"
4,"Monastery Swiftspear"
6,"Mountain"
3,"Play with Fire"
3,"Sheoldred, the Apocalypse"
1,"Sokenzan, Crucible of Defiance"
4,"Sulfurous Springs"
4,"Swamp"
1,"Takenuma, Abandoned Mire"
1,"Abrade"
3,"Duress"
1,"Go for the Throat"
4,"Razorlash Transmogrant"
2,"Reckoner Bankbuster"
1,"Soul Transfer"
3,"Vampires' Vengeance"
