Quantity,Card_Name
1,"Ancestral Recall"
1,"Black Lotus"
1,"Brainstorm"
4,"Dark Ritual"
2,"Daze"
1,"Demonic Consultation"
1,"Demonic Tutor"
1,"Dig Through Time"
4,"Doomsday"
1,"Fatal Push"
2,"Flooded Strand"
3,"Flusterstorm"
4,"Force of Will"
1,"Gitaxian Probe"
1,"Gush"
1,"Mental Misstep"
2,"Misty Rainforest"
1,"Mox Jet"
1,"Mox Sapphire"
1,"Mystical Tutor"
1,"Necropotence"
2,"Polluted Delta"
1,"Ponder"
4,"Preordain"
3,"Scalding Tarn"
1,"Sheoldred, the Apocalypse"
1,"Snow-Covered Island"
4,"Street Wraith"
2,"Thassa's Oracle"
1,"Thoughtseize"
1,"Time Walk"
4,"Underground Sea"
1,"Vampiric Tutor"
1,"Cut Down"
1,"Duress"
1,"Fatal Push"
1,"Force of Negation"
1,"Gaea's Blessing"
4,"Leyline of the Void"
1,"Mindbreak Trap"
1,"Murktide Regent"
1,"Opposition Agent"
2,"Steel Sabotage"
1,"The Tabernacle at Pendrell Vale"
