Quantity,Card_Name
1,"Badlands"
4,"Basking Rootwalla"
2,"Bayou"
4,"Bazaar of Baghdad"
4,"Blazing Rootwalla"
2,"Bloodghast"
1,"Boseiju, Who Endures"
1,"Chalice of the Void"
4,"Deathrite Shaman"
1,"Dryad Arbor"
4,"Force of Vigor"
3,"Hogaak, Arisen Necropolis"
4,"Hollow One"
1,"Mental Misstep"
4,"Once Upon a Time"
4,"Poxwalkers"
4,"Serum Powder"
1,"Strip Mine"
4,"Vengevine"
2,"Verdant Catacombs"
4,"Wasteland"
1,"Wooded Foothills"
2,"Collector Ouphe"
2,"Dauthi Voidwalker"
1,"Dismember"
3,"Endurance"
2,"Mindbreak Trap"
1,"Snuff Out"
4,"Surgical Extraction"
