Quantity,Card_Name
1,"Ancestral Recall"
1,"Black Lotus"
1,"Bolas's Citadel"
1,"Brainstorm"
1,"Dig Through Time"
1,"Flooded Strand"
4,"Force of Will"
1,"Gitaxian Probe"
1,"Hurkyl's Recall"
5,"Island"
1,"Karn, the Great Creator"
1,"Mana Crypt"
1,"Mana Vault"
1,"Manifold Key"
1,"Mental Misstep"
1,"Merchant Scroll"
1,"Misty Rainforest"
1,"Mox Emerald"
1,"Mox Jet"
2,"Mox Opal"
1,"Mox Pearl"
1,"Mox Ruby"
1,"Mox Sapphire"
1,"Mystical Tutor"
1,"Narset, Parter of Veils"
4,"Paradoxical Outcome"
1,"Pithing Needle"
1,"Polluted Delta"
1,"Ponder"
1,"Prismatic Vista"
4,"Repeal"
1,"Scalding Tarn"
2,"Sensei's Divining Top"
1,"Snapcaster Mage"
1,"Sol Ring"
1,"Soul-Guide Lantern"
1,"Time Vault"
1,"Time Walk"
1,"Tinker"
1,"Tolarian Academy"
4,"Urza's Saga"
1,"Urza, Lord High Artificer"
2,"Dismember"
1,"Flusterstorm"
1,"Grafdigger's Cage"
3,"Hurkyl's Recall"
1,"Karn, Scion of Urza"
1,"Mycosynth Lattice"
3,"Soul-Guide Lantern"
1,"Sphinx of the Steel Wind"
1,"Surgical Extraction"
1,"Tormod's Crypt"
