Deck_Name,Format,Paper_Price,MTGO_Price_Tix
Pauper Burn,Pauper,93.14000000000001,47.08
Affinity,Pauper,91.14,103.05
Pauper Dimir Control,Pauper,133.64,43.22
Mono-Blue Faeries,Pauper,96.68000000000002,60.620000000000005
Orzhov Ephemerate,Pauper,64.14,85.45000000000002
Gruul Ponza,Pauper,61.46,86.79000000000002
Familiars,Pauper,76.92,72.55000000000001
Boros Synthesizer,Pauper,53.4,61.07000000000001
Mono-Red Synthesizer,Pauper,82.15,34.99
Walls Combo,Pauper,25.89,27.740000000000002
Tron,Pauper,77.58,23.640000000000004
Caw Gates,Pauper,102.23000000000002,104.84
4 Color Ephemerate,Pauper,95.21,85.64999999999999
Ephemerate Tron,Pauper,73.99999999999999,68.77000000000002
Bogles,Pauper,98.35000000000001,65.49000000000001
Kiln Fiend,Pauper,73.04,47.46000000000001
Boros Bully,Pauper,67.16,62.68000000000001
Izzet Faeries,Pauper,73.56,60.93
Goblins,Pauper,61.47999999999998,59.46
Slivers,Pauper,50.48,62.42999999999999
Jeskai Ephemerate,Pauper,74.42,66.73
Grixis Midrange,Standard,403.88,413.76
Mono-White Midrange,Standard,285.6600000000001,246.97000000000003
Standard 5 Color Midrange,Standard,520.1899999999999,752.6899999999997
Mono-Red Aggro,Standard,93.57999999999998,100.24
Esper Midrange,Standard,521.51,426.07000000000005
Mono-Blue Tempo,Standard,46.879999999999995,21.009999999999998
Azorius Soldiers,Standard,118.61000000000004,82.91999999999997
Selesnya Poison,Standard,214.54,230.19000000000005
Jund Midrange,Standard,488.03999999999996,490.92999999999995
Kami War,Standard,361.4100000000001,674.9199999999997
Esper Legends,Standard,621.36,560.9
Mardu Midrange,Standard,432.16,421.0
Rakdos Aggro,Standard,445.16999999999996,471.1699999999999
Domain Control,Standard,352.6200000000001,489.9299999999998
Esper Aggro,Standard,472.5200000000001,362.84000000000003
Pioneer Rakdos Midrange,Pioneer,721.81,522.29
Abzan Greasefang,Pioneer,512.5100000000001,322.04999999999995
Nykthos Ramp,Pioneer,480.04,246.4000000000001
Pioneer Azorius Control,Pioneer,348.5600000000001,174.01000000000002
Temur Indomitable Creativity,Pioneer,599.17,383.48
Lotus Field Combo,Pioneer,342.2700000000001,233.21000000000004
Gruul Midrange,Pioneer,315.5,201.41000000000003
Izzet Phoenix,Pioneer,386.76000000000005,202.37000000000003
Pioneer 5 Color Midrange,Pioneer,539.2099999999999,455.0999999999998
Selesnya Angels,Pioneer,550.07,240.07
Mono-White Humans,Pioneer,280.61,218.24
Pioneer Dimir Control,Pioneer,320.21000000000004,151.73000000000002
Azorius Spirits,Pioneer,218.17000000000002,149.24
5 Color Fires of Invention,Pioneer,688.8800000000002,441.5599999999997
Mono-Red Goblins,Pioneer,162.58,122.28
Mono-Blue Spirits,Pioneer,146.85999999999999,124.96000000000002
Rakdos Sacrifice,Pioneer,382.00999999999993,319.3
4 Color Auras,Pioneer,301.20000000000005,182.55
Mono-Black Midrange,Pioneer,484.12999999999994,362.6699999999999
Bant Spirits,Pioneer,286.67999999999995,107.54
Izzet Murktide,Modern,972.1199999999998,555.8499999999999
5 Color Indomitable Creativity,Modern,1154.1499999999999,668.18
Hammer Time,Modern,766.02,285.41999999999996
Modern Rakdos Midrange,Modern,1045.86,661.3000000000001
Modern Burn,Modern,460.68,222.26000000000002
4 Color Omnath,Modern,1457.56,718.5399999999998
Amulet Titan,Modern,953.9200000000001,525.1799999999998
Golgari Yawgmoth,Modern,841.8599999999999,450.09999999999997
Domain Zoo,Modern,701.5,259.43
Mono-Green Tron,Modern,440.27,215.49000000000007
Dimir Mill,Modern,522.6100000000001,211.89000000000001
Generic Ragavan,Modern,1001.16,541.4200000000001
Living End,Modern,689.45,368.56999999999994
Merfolk,Modern,755.1,292.40999999999997
Modern Death's Shadow,Modern,948.8100000000001,404.26999999999987
Modern Jeskai Control,Modern,908.8000000000001,548.95
5 Color Reanimator,Modern,897.1900000000002,748.0200000000001
Mono-Blue Affinity,Modern,305.96000000000004,252.31000000000003
Jeskai Prowess,Modern,538.67,188.7
Modern Azorius Control,Modern,949.8100000000002,546.6599999999999
Reanimator,Legacy,4415.01,310.14000000000004
Cephalid Breakfast,Legacy,7550.030000000002,525.3399999999999
Painter,Legacy,2681.8,579.2099999999999
Mono-Blue 8-Cast,Legacy,2136.05,653.4899999999998
Izzet Delver,Legacy,5244.670000000003,537.61
Sneak and Show,Legacy,6269.4800000000005,427.7599999999999
Legacy Death's Shadow,Legacy,3940.28,418.89
Five-Color Zenith,Legacy,4324.99,636.5800000000002
Legacy Doomsday,Legacy,7054.94,412.9599999999999
Death and Taxes,Legacy,657.85,232.73000000000002
Temur Delver,Legacy,7631.370000000002,496.36000000000007
Mono-Red Prison,Legacy,1369.1699999999996,669.1999999999999
Elves,Legacy,5122.130000000001,375.14
Naya Depths,Legacy,4019.1800000000003,403.71
Lands,Legacy,7507.8099999999995,602.3600000000001
Food Chain Goblins,Legacy,2224.2200000000003,386.0999999999999
Maverick,Legacy,3726.0000000000005,363.35999999999996
Legacy Jeskai Control,Legacy,4371.2,373.48999999999995
4 Color Aluren,Legacy,5362.610000000001,274.16
Mono-Red Burn,Legacy,446.53,173.94000000000003
Mono-White Hammer,Legacy,996.94,341.53000000000003
Jeskai Stoneblade,Legacy,4682.410000000001,359.47999999999996
4 Color Stoneblade,Legacy,4490.3600000000015,383.9700000000001
Omni-Tell,Legacy,1723.83,530.3099999999998
Ad Nauseam Tendrils,Legacy,9677.259999999998,315.16
Esper Tinker,Vintage,31845.04,510.46000000000004
Mono-White Initiative,Vintage,24321.399999999998,484.69
Paradoxical Outcome,Vintage,20113.819999999996,381.31000000000006
Vintage Doomsday,Vintage,25640.429999999993,439.05999999999995
Squee Hollow Vine,Vintage,8768.740000000002,497.41
Dredge,Vintage,8530.859999999995,356.06
Vintage Jeskai Control,Vintage,28457.540000000005,517.8100000000001
Oath of Druids,Vintage,24779.32,527.2199999999998
