Deck_Name,Format,Paper_Price,Lands_Price,Non-Lands_Price
Pauper Burn,Pauper,93.14000000000001,4.49,88.65
Affinity,Pauper,91.14,20.04,71.10000000000001
Pauper Dimir Control,Pauper,133.64,4.99,128.65
Mono-Blue Faeries,Pauper,96.68000000000002,19.080000000000002,77.6
Orzhov Ephemerate,Pauper,64.14,5.430000000000001,58.71000000000001
Gruul Ponza,Pauper,61.46,14.32,47.14
Familiars,Pauper,76.92,3.0300000000000002,73.89
Boros Synthesizer,Pauper,53.4,6.99,46.41
Mono-Red Synthesizer,Pauper,82.15,4.49,77.66
Walls Combo,Pauper,25.89,1.43,24.46
Tron,Pauper,77.58,17.59,59.99
Caw Gates,Pauper,102.23000000000002,10.450000000000001,91.78
4 Color Ephemerate,Pauper,95.21,7.86,87.35
Ephemerate Tron,Pauper,73.99999999999999,19.979999999999997,54.02
Bogles,Pauper,98.35000000000001,1.7300000000000002,96.61999999999999
Kiln Fiend,Pauper,73.04,1.57,71.47000000000001
Boros Bully,Pauper,67.16,1.9100000000000001,65.25
Izzet Faeries,Pauper,73.56,14.59,58.97
Goblins,Pauper,61.47999999999998,22.24,39.24
Slivers,Pauper,50.48,2.02,48.46
Jeskai Ephemerate,Pauper,74.42,12.71,61.71
Grixis Midrange,Standard,403.88,120.75999999999999,283.12
Mono-White Midrange,Standard,285.6600000000001,12.98,272.68
Standard 5 Color Midrange,Standard,520.1899999999999,132.5,387.69
Mono-Red Aggro,Standard,93.57999999999998,7.18,86.4
Esper Midrange,Standard,521.51,193.65,327.85999999999996
Mono-Blue Tempo,Standard,46.879999999999995,4.18,42.69999999999999
Azorius Soldiers,Standard,118.61000000000004,61.989999999999995,56.62
Selesnya Poison,Standard,214.54,84.05000000000001,130.49
Jund Midrange,Standard,488.03999999999996,158.89,329.15
Kami War,Standard,361.4100000000001,122.42999999999999,238.98000000000005
Esper Legends,Standard,621.36,153.98999999999998,467.37
Mardu Midrange,Standard,432.16,147.93,284.23
Rakdos Aggro,Standard,445.16999999999996,79.77,365.40000000000003
Domain Control,Standard,352.6200000000001,156.54,196.08
Esper Aggro,Standard,472.5200000000001,156.85999999999999,315.6600000000001
Pioneer Rakdos Midrange,Pioneer,721.81,229.31999999999996,492.48999999999995
Abzan Greasefang,Pioneer,512.5100000000001,276.97,235.54
Nykthos Ramp,Pioneer,480.04,245.70000000000002,234.34000000000003
Pioneer Azorius Control,Pioneer,348.5600000000001,74.74,273.82
Temur Indomitable Creativity,Pioneer,599.17,245.79999999999998,353.3699999999999
Lotus Field Combo,Pioneer,342.2700000000001,227.43000000000004,114.84
Gruul Midrange,Pioneer,315.5,183.88000000000002,131.62
Izzet Phoenix,Pioneer,386.76000000000005,210.37,176.39
Pioneer 5 Color Midrange,Pioneer,539.2099999999999,250.98,288.23
Selesnya Angels,Pioneer,550.07,215.26,334.8100000000001
Mono-White Humans,Pioneer,280.61,56.85999999999999,223.75000000000003
Pioneer Dimir Control,Pioneer,320.21000000000004,114.63000000000001,205.57999999999993
Azorius Spirits,Pioneer,218.17000000000002,132.48000000000002,85.69
5 Color Fires of Invention,Pioneer,688.8800000000002,445.0999999999999,243.78000000000006
Mono-Red Goblins,Pioneer,162.58,36.669999999999995,125.91
