Deck_Name,Paper_Price,MTGO_Price_Tix
Izzet Murktide,974.1099999999999,568.5099999999999
5 Color Indomitable Creativity,1157.9699999999998,826.23
Hammer Time,763.1500000000001,292.5799999999999
Rakdos Midrange,1026.9899999999998,693.21
Burn,466.03999999999996,219.13
4 Color Omnath,1448.4199999999998,875.12
Amulet Titan,951.9799999999999,530.79
Golgari Yawgmoth,848.7200000000001,443.57000000000005
Domain Zoo,705.44,328.34
Mono-Green Tron,448.34,214.91000000000005
Dimir Mill,520.9200000000001,214.00000000000003
Generic Ragavan,1005.24,554.71
Living End,688.0999999999998,379.43999999999994
Merfolk,755.5000000000001,301.88
Death's Shadow,947.0099999999999,417.74999999999983
Jeskai Control,901.34,554.15
5 Color Reanimator,896.4999999999999,747.2299999999999
Mono-Blue Affinity,252.64,257.2
Jeskai Prowess,546.0300000000001,202.81
Azorius Control,949.4900000000001,555.6299999999999
