Deck_Name,Paper_Price,MTGO_Price_Tix
Rakdos Midrange,696.0600000000001,529.14
Abzan Greasefang,509.28000000000003,325.15
Nykthos Ramp,492.94000000000017,249.57999999999998
Azorius Control,339.14,174.49
Temur Indomitable Creativity,594.83,387.53
Lotus Field Combo,348.2699999999999,235.93
Gruul Midrange,317.5300000000001,204.68999999999994
Izzet Phoenix,386.96000000000004,201.64999999999998
5 Color Midrange,539.6600000000001,467.66999999999973
Selesnya Angels,554.56,225.49
Mono-White Humans,275.59000000000003,227.59999999999997
Dimir Control,318.74,153.81
Azorius Spirits,212.27999999999997,152.51999999999998
5 Color Fires of Invention,683.9699999999997,443.6999999999998
Mono-Red Goblins,161.14999999999998,114.42999999999999
Mono-Blue Spirits,128.21,124.9
Rakdos Sacrifice,377.69,320.2399999999999
4 Color Auras,302.23,183.71000000000004
Mono-Black Midrange,458.62,370.1199999999999
Bant Spirits,290.99999999999994,107.26
